ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;19258.70646766169;57776.119402985074
1;19258.70646766169;57776.119402985074
2;19258.70646766169;57776.119402985074
3;19258.70646766169;57776.119402985074
4;19258.70646766169;57776.119402985074
5;19258.70646766169;57776.119402985074
6;19258.70646766169;57776.119402985074
7;19258.70646766169;57776.119402985074
8;19258.70646766169;57776.119402985074
9;19258.70646766169;57776.119402985074
10;19258.70646766169;57776.119402985074
